BusinessEntityID,PhoneNumber,PhoneNumberTypeID,ModifiedDate
533,1 (11) 500 555-0179,1,May 30 2012 12:00AM
535,525-555-0174,3,Oct  1 2011 12:00AM
537,1 (11) 500 555-0146,1,May 30 2013 12:00AM
539,689-555-0130,3,Jun 30 2012 12:00AM
541,575-555-0189,3,May 30 2013 12:00AM
543,496-555-0150,3,Aug  1 2011 12:00AM
545,658-555-0146,3,Jun 30 2012 12:00AM
547,428-555-0162,3,May 30 2012 12:00AM
549,1 (11) 500 555-0122,3,May 30 2013 12:00AM
551,644-555-0114,3,May 31 2011 12:00AM
553,581-555-0189,3,Jun 30 2013 12:00AM
555,128-555-0148,1,Jun 30 2012 12:00AM
557,383-555-0155,3,May 30 2012 12:00AM
559,249-555-0172,3,Jul 31 2012 12:00AM
561,817-555-0114,3,Jun 30 2012 12:00AM
563,1 (11) 500 555-0183,3,May 30 2013 12:00AM
565,476-555-0184,1,Jul 31 2013 12:00AM
567,315-555-0166,1,May 30 2012 12:00AM
569,148-555-0149,1,May 30 2012 12:00AM
571,857-555-0187,3,Jul  1 2011 12:00AM
573,652-555-0132,1,May 31 2011 12:00AM
575,710-555-0116,1,Jul 31 2012 12:00AM
577,1 (11) 500 555-0136,3,Jul 31 2013 12:00AM
579,251-555-0172,1,Jun 30 2013 12:00AM
581,1 (11) 500 555-0129,1,Jun 30 2013 12:00AM
583,131-555-0171,1,May 31 2011 12:00AM
585,164-555-0147,3,Oct  1 2011 12:00AM
587,1 (11) 500 555-0138,3,Jul 31 2013 12:00AM
589,1 (11) 500 555-0199,1,May 30 2012 12:00AM
591,726-555-0155,1,May 31 2011 12:00AM
593,1 (11) 500 555-0122,3,Sep 30 2012 12:00AM
595,1 (11) 500 555-0118,3,Jun 30 2013 12:00AM
597,145-555-0152,1,Jun 30 2012 12:00AM
599,827-555-0143,3,Jul  1 2011 12:00AM
601,1 (11) 500 555-0118,1,Jun 30 2012 12:00AM
603,377-555-0158,1,Jun 30 2012 12:00AM
605,1 (11) 500 555-0190,3,May 30 2012 12:00AM
607,700-555-0155,1,Jul  1 2011 12:00AM
609,756-555-0117,3,Sep 30 2012 12:00AM
611,635-555-0126,3,Aug  1 2011 12:00AM
613,118-555-0131,3,May 30 2013 12:00AM
615,965-555-0112,3,Jul  1 2011 12:00AM
617,990-555-0141,1,Jul 31 2013 12:00AM
619,488-555-0130,3,Sep 30 2012 12:00AM
621,112-555-0191,3,Jun 30 2012 12:00AM
623,1 (11) 500 555-0140,1,Jul 31 2013 12:00AM
625,193-555-0116,1,Jul 31 2013 12:00AM
627,1 (11) 500 555-0120,1,Jun 30 2012 12:00AM
629,716-555-0167,3,May 30 2013 12:00AM
631,646-555-0137,3,Aug  1 2011 12:00AM
633,268-555-0184,3,Jun 30 2012 12:00AM
635,1 (11) 500 555-0163,3,May 30 2013 12:00AM
637,620-555-0117,1,Jul 31 2012 12:00AM
639,944-555-0148,3,May 30 2012 12:00AM
641,279-555-0130,1,Aug  1 2011 12:00AM
643,244-555-0112,1,Jul 31 2013 12:00AM
645,1 (11) 500 555-0191,3,Jun 30 2012 12:00AM
647,180-555-0114,1,Aug  1 2011 12:00AM
649,353-555-0188,3,Jun 30 2012 12:00AM
651,362-555-0162,1,May 30 2013 12:00AM
653,242-555-0181,1,Aug  1 2011 12:00AM
655,695-555-0161,3,Jun 30 2013 12:00AM
657,1 (11) 500 555-0178,3,Jul 31 2012 12:00AM
659,644-555-0111,3,Jul 31 2013 12:00AM
661,351-555-0131,3,May 31 2011 12:00AM
663,301-555-0128,1,May 30 2012 12:00AM
665,1 (11) 500 555-0134,1,May 30 2013 12:00AM
667,127-555-0124,1,Aug  1 2011 12:00AM
669,448-555-0179,3,May 30 2013 12:00AM
671,223-555-0184,1,Aug  1 2011 12:00AM
673,708-555-0169,3,May 30 2012 12:00AM
675,1 (11) 500 555-0180,1,Jul 31 2013 12:00AM
677,117-555-0173,3,Jul  1 2011 12:00AM
679,514-555-0128,1,Aug  1 2011 12:00AM
681,789-555-0184,1,Jul 31 2013 12:00AM
683,344-555-0181,3,May 30 2012 12:00AM
685,264-555-0164,3,Aug  1 2011 12:00AM
687,1 (11) 500 555-0181,1,May 30 2013 12:00AM
689,1 (11) 500 555-0142,1,Jun 30 2013 12:00AM
691,727-555-0190,3,May 30 2012 12:00AM
693,273-555-0181,1,Aug  1 2011 12:00AM
695,429-555-0145,1,Jul 31 2013 12:00AM
697,334-555-0146,3,May 31 2011 12:00AM
699,927-555-0198,3,Jun 30 2012 12:00AM
701,221-555-0141,3,Jul 31 2012 12:00AM
703,539-555-0142,1,Jul  1 2011 12:00AM
705,1 (11) 500 555-0176,3,Jun 30 2013 12:00AM
707,206-555-0195,1,Jun 30 2013 12:00AM
709,250-555-0127,1,Jun 30 2012 12:00AM
711,661-555-0168,3,Jun 30 2013 12:00AM
713,426-555-0181,1,Oct  1 2011 12:00AM
715,159-555-0190,3,Oct 31 2011 12:00AM
717,1 (11) 500 555-0140,3,May 30 2013 12:00AM
719,292-555-0128,1,May 30 2013 12:00AM
721,987-555-0126,3,May 31 2011 12:00AM
723,397-555-0144,3,Aug  1 2011 12:00AM
725,119-555-0144,3,Oct 31 2011 12:00AM
727,652-555-0115,3,Jul  1 2011 12:00AM
729,1 (11) 500 555-0117,3,Jul 31 2013 12:00AM
731,383-555-0111,3,Jun 30 2012 12:00AM
733,752-555-0187,1,Jul 31 2012 12:00AM
735,1 (11) 500 555-0133,3,May 30 2013 12:00AM
737,428-555-0176,3,Jul  1 2011 12:00AM
739,884-555-0193,3,Aug  1 2011 12:00AM
741,773-555-0182,3,Aug 31 2011 12:00AM
743,542-555-0164,1,May 30 2012 12:00AM
745,941-555-0155,1,Jun 30 2012 12:00AM
747,1 (11) 500 555-0147,3,Jul 31 2013 12:00AM
749,140-555-0143,1,Jul  1 2011 12:00AM
751,945-555-0112,3,Aug  1 2011 12:00AM
753,539-555-0182,3,Aug  1 2011 12:00AM
755,889-555-0176,3,Jun 30 2013 12:00AM
757,1 (11) 500 555-0148,3,Jul 31 2013 12:00AM
759,859-555-0173,3,Jul  1 2011 12:00AM
761,119-555-0167,1,May 30 2012 12:00AM
763,115-555-0113,3,Aug  1 2011 12:00AM
765,937-555-0136,3,Jun 30 2012 12:00AM
