BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
13,486228782,adventure-works\janice0,/1/1/5/2/,4,Tool Designer,1989-05-28,M,F,2010-12-23,0,8,24,1,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,Jun 30 2014 12:00AM
14,42487730,adventure-works\michael8,/1/1/6/,3,Senior Design Engineer,1979-06-16,S,M,2010-12-30,1,3,21,1,46286CA4-46DD-4DDB-9128-85B67E98D1A9,Jun 30 2014 12:00AM
15,56920285,adventure-works\sharon0,/1/1/7/,3,Design Engineer,1961-05-02,M,F,2011-01-18,1,4,22,1,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,Jun 30 2014 12:00AM
16,24756624,adventure-works\david0,/2/,1,Marketing Manager,1975-03-19,S,M,2007-12-20,1,40,40,1,E87029AA-2CBA-4C03-B948-D83AF0313E28,Jun 30 2014 12:00AM
17,253022876,adventure-works\kevin0,/2/1/,2,Marketing Assistant,1987-05-03,S,M,2007-01-26,0,42,41,1,1B480240-95C0-410F-A717-EB29943C8886,Jun 30 2014 12:00AM
18,222969461,adventure-works\john5,/2/2/,2,Marketing Specialist,1978-03-06,S,M,2011-02-07,0,48,44,1,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,Jun 30 2014 12:00AM
19,52541318,adventure-works\mary2,/2/3/,2,Marketing Assistant,1978-01-29,S,F,2011-02-14,0,43,41,1,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,Jun 30 2014 12:00AM
20,323403273,adventure-works\wanida0,/2/4/,2,Marketing Assistant,1975-03-17,M,F,2011-01-07,0,41,40,1,43CCA446-DA1C-454C-8530-873AD2923E1B,Jun 30 2014 12:00AM
21,243322160,adventure-works\terry0,/2/5/,2,Marketing Specialist,1986-02-04,M,M,2009-03-02,0,44,42,1,AD0D7626-4506-45C4-898F-9D7A0E13AABD,Jun 30 2014 12:00AM
22,95958330,adventure-works\sariya0,/2/6/,2,Marketing Specialist,1987-05-21,S,M,2008-12-12,0,45,42,1,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,Jun 30 2014 12:00AM
23,767955365,adventure-works\mary0,/2/7/,2,Marketing Specialist,1962-09-13,M,F,2009-01-12,0,46,43,1,90899830-127E-4876-85CA-7F6E03025281,Jun 30 2014 12:00AM
24,72636981,adventure-works\jill0,/2/8/,2,Marketing Specialist,1979-06-18,M,F,2009-01-18,0,47,43,1,53575C58-FBA1-4C1A-B8FF-95E050B44393,Jun 30 2014 12:00AM
25,519899904,adventure-works\james1,/3/,1,Vice President of Production,1983-01-07,S,M,2009-02-03,1,64,52,1,D7314F24-2AF1-429C-9BBB-4038F45F3E6C,Jun 30 2014 12:00AM
26,277173473,adventure-works\peter0,/3/1/,2,Production Control Manager,1982-11-03,M,M,2008-12-01,1,43,41,1,69D5D162-E817-45E7-9DEC-5D9B8310E7B1,Dec 26 2014  9:17AM
27,446466105,adventure-works\jo0,/3/1/1/,3,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,0,80,60,1,83FFAAC6-B895-481F-B897-14F965D4DA47,Jun 30 2014 12:00AM
28,14417807,adventure-works\guy1,/3/1/1/1/,4,Production Technician - WC60,1988-03-13,M,M,2006-06-30,0,21,30,1,AAE1D04A-C237-4974-B4D5-935247737718,Jun 30 2014 12:00AM
29,948320468,adventure-works\mark1,/3/1/1/2/,4,Production Technician - WC60,1979-09-25,S,M,2009-01-23,0,19,29,1,CDB2C6DF-93E5-4558-91C8-424D5E7C658B,Jun 30 2014 12:00AM
30,410742000,adventure-works\britta0,/3/1/1/3/,4,Production Technician - WC60,1989-09-28,M,F,2009-01-29,0,14,27,1,FC12677F-42F8-4790-AD69-685088ED7E5F,Jun 30 2014 12:00AM
31,750246141,adventure-works\margie0,/3/1/1/4/,4,Production Technician - WC60,1986-05-20,M,F,2009-01-04,0,18,29,1,352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30,Jun 30 2014 12:00AM
32,330211482,adventure-works\rebecca0,/3/1/1/5/,4,Production Technician - WC60,1977-07-10,M,F,2008-12-29,0,23,31,1,BDADEB5C-A596-4DA1-88BA-842C7A0CC10F,Jun 30 2014 12:00AM
33,801758002,adventure-works\annik0,/3/1/1/6/,4,Production Technician - WC60,1976-12-26,M,M,2008-12-17,0,17,28,1,51FDE6AC-BD50-467C-90E5-10CA7310455C,Jun 30 2014 12:00AM
34,754372876,adventure-works\suchitra0,/3/1/1/7/,4,Production Technician - WC60,1987-06-10,M,F,2009-02-16,0,15,27,1,6ADBD932-0DA5-4F5C-AF67-8E3A53630896,Jun 30 2014 12:00AM
35,999440576,adventure-works\brandon0,/3/1/1/8/,4,Production Technician - WC60,1977-01-10,M,M,2009-02-08,0,22,31,1,CA5D1935-44E2-4C45-93BB-809E59F56796,Jun 30 2014 12:00AM
36,788456780,adventure-works\jose0,/3/1/1/9/,4,Production Technician - WC60,1984-07-31,M,M,2009-02-10,0,20,30,1,9E912556-88BA-41EE-B946-CB84AB4C1102,Jun 30 2014 12:00AM
37,442121106,adventure-works\chris2,/3/1/1/10/,4,Production Technician - WC60,1986-08-07,S,M,2009-03-07,0,16,28,1,77B384C7-AFFB-4816-992B-F5B3034EE4FF,Jun 30 2014 12:00AM
38,6298838,adventure-works\kim1,/3/1/1/11/,4,Production Technician - WC60,1966-12-14,M,F,2010-01-16,0,24,32,1,891C27F4-28CC-44BB-BEA3-DA5EA7FBE957,Jun 30 2014 12:00AM
39,461786517,adventure-works\ed0,/3/1/1/12/,4,Production Technician - WC60,1971-09-11,S,M,2010-02-05,0,25,32,1,8EF22FB3-AF37-4B44-8862-D60A7CB09D82,Jun 30 2014 12:00AM
40,309738752,adventure-works\jolynn0,/3/1/2/,3,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,0,82,61,1,2CC71B96-F421-485E-9832-8723337749BB,Jun 30 2014 12:00AM
41,458159238,adventure-works\bryan0,/3/1/2/1/,4,Production Technician - WC60,1973-08-27,S,M,2009-01-21,0,35,37,1,4652D4E4-6A27-47ED-9F51-C377E293DA28,Jun 30 2014 12:00AM
42,339712426,adventure-works\james0,/3/1/2/2/,4,Production Technician - WC60,1984-07-25,M,M,2008-12-27,0,39,39,1,82E52D5A-165B-4C6D-9773-C3A6B6332ECD,Jun 30 2014 12:00AM
43,693325305,adventure-works\nancy0,/3/1/2/3/,4,Production Technician - WC60,1988-11-19,M,F,2009-01-02,0,34,37,1,6B7EB306-9A00-496A-98A9-4E94FE72F77C,Jun 30 2014 12:00AM
44,276751903,adventure-works\simon0,/3/1/2/4/,4,Production Technician - WC60,1990-05-17,S,M,2008-12-08,0,38,39,1,F734D38A-56B5-471E-8DED-A682E958A9B3,Jun 30 2014 12:00AM
45,500412746,adventure-works\thomas0,/3/1/2/5/,4,Production Technician - WC60,1986-01-10,M,M,2009-02-26,0,37,38,1,8FF3AF67-32F2-4A08-98C3-A40F842D41A3,Jun 30 2014 12:00AM
46,66073987,adventure-works\eugene1,/3/1/2/6/,4,Production Technician - WC60,1976-02-10,S,M,2009-02-08,0,36,38,1,33543B35-77DA-4600-A41B-1EAFEA0AD643,Jun 30 2014 12:00AM
47,33237992,adventure-works\andrew0,/3/1/3/,3,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,0,65,52,1,08365B05-C143-4260-A93C-6B69418B1946,Jun 30 2014 12:00AM
48,690627818,adventure-works\ruth0,/3/1/3/1/,4,Production Technician - WC10,1956-06-04,M,F,2008-01-06,0,83,61,1,3E3B6905-209E-442E-B8A8-9A0980241C6A,Jun 30 2014 12:00AM
49,912265825,adventure-works\barry0,/3/1/3/2/,4,Production Technician - WC10,1956-03-26,S,M,2008-01-07,0,88,64,1,756A60AE-378F-43D8-9F93-1E821D1EAF52,Jun 30 2014 12:00AM
50,844973625,adventure-works\sidney0,/3/1/3/3/,4,Production Technician - WC10,1956-08-30,M,M,2008-02-02,0,84,62,1,40D603D9-7F99-48B7-A580-B17CF429BED2,Jun 30 2014 12:00AM
51,132674823,adventure-works\jeffrey0,/3/1/3/4/,4,Production Technician - WC10,1956-07-11,S,M,2008-02-20,0,85,62,1,6E086F41-B81D-4BDC-9F13-0EEC488DC43E,Jun 30 2014 12:00AM
52,565090917,adventure-works\doris0,/3/1/3/5/,4,Production Technician - WC10,1956-04-04,M,F,2008-03-10,0,86,63,1,692B8826-03B4-4C3B-82FC-1FC6F1409689,Jun 30 2014 12:00AM
53,9659517,adventure-works\diane0,/3/1/3/6/,4,Production Technician - WC10,1956-03-29,M,F,2008-03-28,0,87,63,1,C334B2D2-0C56-4906-9095-F1D07A98CBEC,Jun 30 2014 12:00AM
54,109272464,adventure-works\bonnie0,/3/1/3/7/,4,Production Technician - WC10,1986-09-10,M,F,2010-01-01,0,89,64,1,E950A52A-DF61-4FEC-9063-545664D65B89,Jun 30 2014 12:00AM
55,233069302,adventure-works\taylor0,/3/1/4/,3,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,0,79,59,1,28F7EF89-2793-4989-B67D-25046543C1E3,Jun 30 2014 12:00AM
56,652535724,adventure-works\denise0,/3/1/4/1/,4,Production Technician - WC50,1988-07-06,M,F,2009-02-05,0,9,24,1,77878C43-F16E-437D-892F-3CFCC0715A0A,Jun 30 2014 12:00AM
57,10708100,adventure-works\frank1,/3/1/4/2/,4,Production Technician - WC50,1971-07-24,S,M,2009-02-23,0,10,25,1,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B,Jun 30 2014 12:00AM
58,571658797,adventure-works\kendall0,/3/1/4/3/,4,Production Technician - WC50,1986-05-30,M,M,2008-12-05,0,11,25,1,65207627-5521-4A8E-AD3C-B2F1B5226B85,Jun 30 2014 12:00AM
59,843479922,adventure-works\bob0,/3/1/4/4/,4,Production Technician - WC50,1979-08-16,S,M,2008-12-24,0,12,26,1,68616AEA-81E5-4940-A7E4-6FBA882BCCF6,Jun 30 2014 12:00AM
60,827686041,adventure-works\pete0,/3/1/4/5/,4,Production Technician - WC50,1977-02-03,S,M,2009-01-11,0,13,26,1,1F1D813D-3EDC-4274-8E9B-4519D71685B6,Jun 30 2014 12:00AM
61,92096924,adventure-works\diane2,/3/1/4/6/,4,Production Technician - WC50,1989-08-09,S,F,2009-01-18,0,8,24,1,721A2921-C415-46DE-9111-13F25F428B8B,Jun 30 2014 12:00AM
62,494170342,adventure-works\john0,/3/1/5/,3,Production Supervisor - WC60,1956-08-07,M,M,2008-03-17,0,81,60,1,D4ED1F78-7C28-479B-BFEF-A73228BA2AAA,Jun 30 2014 12:00AM
63,414476027,adventure-works\maciej0,/3/1/5/1/,4,Production Technician - WC60,1955-01-30,S,M,2010-01-29,0,30,35,1,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3,Jun 30 2014 12:00AM
64,582347317,adventure-works\michael7,/3/1/5/2/,4,Production Technician - WC60,1973-09-05,S,M,2010-02-23,0,26,33,1,492B24BD-BDE9-4371-B96E-CCD72264B91F,Jun 30 2014 12:00AM
65,8066363,adventure-works\randy0,/3/1/5/3/,4,Production Technician - WC60,1970-04-28,M,M,2010-02-23,0,29,34,1,9A08108D-E039-4862-8F93-55F18017AD72,Jun 30 2014 12:00AM
66,834186596,adventure-works\karan0,/3/1/5/4/,4,Production Technician - WC60,1970-03-07,S,M,2009-12-22,0,28,34,1,08B1BA74-DD80-4FDA-8327-93268B84977B,Jun 30 2014 12:00AM
67,63179277,adventure-works\jay0,/3/1/5/5/,4,Production Technician - WC60,1976-02-11,S,M,2009-03-05,0,32,36,1,18187809-5294-474F-85A1-D5BE6BD518D6,Jun 30 2014 12:00AM
68,537092325,adventure-works\charles0,/3/1/5/6/,4,Production Technician - WC60,1971-09-02,S,M,2009-12-03,0,27,33,1,CDC11292-DF74-4FB0-8676-5B2AA4687142,Jun 30 2014 12:00AM
69,752513276,adventure-works\steve0,/3/1/5/7/,4,Production Technician - WC60,1991-04-06,S,M,2009-02-15,0,31,35,1,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4,Jun 30 2014 12:00AM
70,36151748,adventure-works\david2,/3/1/5/8/,4,Production Technician - WC60,1984-12-29,M,M,2008-12-15,0,33,36,1,FC617BB8-D2A3-4374-873C-8EF38D80127D,Jun 30 2014 12:00AM
71,578935259,adventure-works\michael3,/3/1/6/,3,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,0,70,55,1,1AD772D7-7B4A-4A7B-8676-49DD7608CB94,Jun 30 2014 12:00AM
72,443968955,adventure-works\steven0,/3/1/6/1/,4,Production Technician - WC30,1977-05-14,M,M,2008-12-01,0,41,40,1,0A8937C9-68AA-4D48-BA4E-B40493D764AA,Jun 30 2014 12:00AM
73,138280935,adventure-works\carole0,/3/1/6/2/,4,Production Technician - WC30,1983-10-19,M,F,2008-12-19,0,42,41,1,C76A41F1-A390-4AE4-A82A-2A87764C6391,Jun 30 2014 12:00AM
74,420023788,adventure-works\bjorn0,/3/1/6/3/,4,Production Technician - WC30,1989-11-06,S,M,2009-01-07,0,43,41,1,A942E1E0-2D5E-4858-97C0-947020E96860,Jun 30 2014 12:00AM
75,363996959,adventure-works\michiko0,/3/1/6/4/,4,Production Technician - WC30,1982-06-27,S,M,2009-01-26,0,44,42,1,F359F5B6-5E18-4C62-8531-14D951911CE5,Jun 30 2014 12:00AM
76,227319668,adventure-works\carol0,/3/1/6/5/,4,Production Technician - WC30,1988-10-17,M,F,2009-02-12,0,45,42,1,8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE,Jun 30 2014 12:00AM
77,301435199,adventure-works\merav0,/3/1/6/6/,4,Production Technician - WC30,1983-05-13,M,F,2009-03-03,0,46,43,1,2EE7914A-62D3-473B-A0E1-E4E55341EC4E,Jun 30 2014 12:00AM
78,370989364,adventure-works\reuben0,/3/1/7/,3,Production Supervisor - WC40,1987-08-27,M,M,2008-12-15,0,72,56,1,71EEE2A6-B9B3-4BF4-8949-01239DF7C901,Jun 30 2014 12:00AM
79,697712387,adventure-works\eric1,/3/1/7/1/,4,Production Technician - WC40,1966-12-08,M,M,2010-01-24,0,60,50,1,55F62E38-9457-46C8-A824-E46A3117A935,Jun 30 2014 12:00AM
80,943170460,adventure-works\sandeep0,/3/1/7/2/,4,Production Technician - WC40,1970-12-03,S,M,2010-01-17,0,65,52,1,606C21E2-3EC0-48A6-A9FE-6BC8123AC786,Jun 30 2014 12:00AM
81,413787783,adventure-works\mihail0,/3/1/7/3/,4,Production Technician - WC40,1971-03-09,S,M,2009-12-29,0,64,52,1,03A9BA14-0D5B-4671-B851-2C1721EFBF01,Jun 30 2014 12:00AM
82,58791499,adventure-works\jack1,/3/1/7/4/,4,Production Technician - WC40,1973-08-29,S,M,2010-03-03,0,62,51,1,D308D387-F7F3-4B5F-ABDA-FAF5574245CD,Jun 30 2014 12:00AM
83,988315686,adventure-works\patrick1,/3/1/7/5/,4,Production Technician - WC40,1973-12-23,M,M,2010-02-12,0,61,50,1,296C52AE-169F-4292-975D-C508476DCECF,Jun 30 2014 12:00AM
84,947029962,adventure-works\frank3,/3/1/7/6/,4,Production Technician - WC40,1952-03-02,M,M,2010-02-05,0,66,53,1,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C,Jun 30 2014 12:00AM
85,1662732,adventure-works\brian2,/3/1/7/7/,4,Production Technician - WC40,1970-12-23,S,M,2009-12-11,0,63,51,1,C294F676-CAAF-4924-9730-BC81AE408BE1,Jun 30 2014 12:00AM
86,769680433,adventure-works\ryan0,/3/1/7/8/,4,Production Technician - WC40,1972-06-13,M,M,2009-01-05,0,59,49,1,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB,Jun 30 2014 12:00AM
87,7201901,adventure-works\cristian0,/3/1/8/,3,Production Supervisor - WC10,1984-04-11,M,M,2008-12-22,0,67,53,1,5BE16416-8570-417D-9E54-047DB468B5E9,Jun 30 2014 12:00AM
88,294148271,adventure-works\betsy0,/3/1/8/1/,4,Production Technician - WC10,1966-12-17,S,F,2009-12-18,0,99,69,1,EBCDBA1C-6C1D-4D36-90F7-1893755C85E3,Jun 30 2014 12:00AM
89,90888098,adventure-works\patrick0,/3/1/8/2/,4,Production Technician - WC10,1986-09-10,S,M,2010-02-01,0,96,68,1,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267,Jun 30 2014 12:00AM
90,82638150,adventure-works\danielle0,/3/1/8/3/,4,Production Technician - WC10,1986-09-07,S,F,2010-02-20,0,97,68,1,BB886159-1400-4264-B7C9-A3769BEB1274,Jun 30 2014 12:00AM
91,390124815,adventure-works\kimberly0,/3/1/8/4/,4,Production Technician - WC10,1986-09-13,S,F,2010-01-12,0,95,67,1,CE256B6C-1EEE-43ED-9969-7CAC480FF4D7,Jun 30 2014 12:00AM
92,826454897,adventure-works\tom0,/3/1/8/5/,4,Production Technician - WC10,1986-10-01,M,M,2010-03-10,0,98,69,1,B3BF7FC5-2014-48CE-B7BB-76124FA8446C,Jun 30 2014 12:00AM
93,778552911,adventure-works\kok-ho0,/3/1/9/,3,Production Supervisor - WC50,1980-04-28,S,M,2008-12-27,0,78,59,1,57FB2C0F-B105-49F0-967A-88F3D743CB3F,Jun 30 2014 12:00AM
94,718299860,adventure-works\russell0,/3/1/9/1/,4,Production Technician - WC50,1972-11-25,M,M,2008-12-12,0,6,23,1,6B10192F-D570-47C4-82C9-3D979B1EFDC1,Jun 30 2014 12:00AM
95,674171828,adventure-works\jim0,/3/1/9/2/,4,Production Technician - WC50,1986-09-08,M,M,2008-12-19,0,1,20,1,6175876E-8FCC-4917-BE06-FC358515E6DF,Jun 30 2014 12:00AM
96,912141525,adventure-works\elizabeth0,/3/1/9/3/,4,Production Technician - WC50,1990-01-25,M,F,2009-03-02,0,5,22,1,62A9F73F-6443-4F2F-B864-18186614BFB6,Jun 30 2014 12:00AM
97,370581729,adventure-works\mandar0,/3/1/9/4/,4,Production Technician - WC50,1986-03-21,S,M,2009-02-10,0,0,20,1,1F0E068A-48C5-40BF-8190-565150EFDADD,Jun 30 2014 12:00AM
98,152085091,adventure-works\sameer0,/3/1/9/5/,4,Production Technician - WC50,1978-06-26,M,M,2009-02-11,0,4,22,1,A703169F-1563-488E-914D-D784FD07F29A,Jun 30 2014 12:00AM
99,431859843,adventure-works\nuan0,/3/1/9/6/,4,Production Technician - WC50,1979-03-29,S,M,2009-01-06,0,2,21,1,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7,Jun 30 2014 12:00AM
100,204035155,adventure-works\lolan0,/3/1/9/7/,4,Production Technician - WC50,1973-01-24,M,M,2009-01-12,0,7,23,1,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF,Jun 30 2014 12:00AM
101,153288994,adventure-works\houman0,/3/1/9/8/,4,Production Technician - WC50,1971-08-30,M,M,2009-01-25,0,3,21,1,9CE8B2E8-9944-4BA5-97DE-441D8314F161,Jun 30 2014 12:00AM
102,360868122,adventure-works\zheng0,/3/1/10/,3,Production Supervisor - WC10,1983-10-26,S,M,2008-12-03,0,66,53,1,C75F2740-ACE3-4EBF-91C5-7AB352E1095F,Jun 30 2014 12:00AM
103,455563743,adventure-works\ebru0,/3/1/10/1/,4,Production Technician - WC10,1986-09-22,S,M,2009-12-06,0,93,66,1,6C25A32B-88B5-4F84-A129-F7F688DFA588,Jun 30 2014 12:00AM
104,717889520,adventure-works\mary1,/3/1/10/2/,4,Production Technician - WC10,1986-09-19,M,F,2009-12-25,0,94,67,1,6DC9F7D0-5664-4E4A-90F5-7AB85EBB02E6,Jun 30 2014 12:00AM
105,801365500,adventure-works\kevin2,/3/1/10/3/,4,Production Technician - WC10,1986-09-19,S,M,2009-12-25,0,90,65,1,8B21E53D-E705-479A-B32E-6E63AC2F4BCD,Jun 30 2014 12:00AM
106,561196580,adventure-works\john4,/3/1/10/4/,4,Production Technician - WC10,1986-09-28,S,M,2010-02-27,0,92,66,1,D4CF23D9-21B6-45E4-827C-22890DF0373B,Jun 30 2014 12:00AM
107,393421437,adventure-works\christopher0,/3/1/10/5/,4,Production Technician - WC10,1986-10-01,M,M,2010-02-08,0,91,65,1,F71C6055-557B-4660-86FF-8C0FA14B24E6,Jun 30 2014 12:00AM
108,630184120,adventure-works\jinghao0,/3/1/11/,3,Production Supervisor - WC50,1989-02-05,S,M,2008-12-08,0,77,58,1,2BCA07D3-F2AC-4406-904F-E09156F3EB3E,Jun 30 2014 12:00AM
109,113695504,adventure-works\alice0,/3/1/11/1/,4,Production Technician - WC50,1978-01-26,M,F,2008-12-07,0,95,67,1,7E632B21-0D11-4BBA-8A68-8CAE14C20AE6,Jun 30 2014 12:00AM
110,857651804,adventure-works\jun0,/3/1/11/2/,4,Production Technician - WC50,1979-07-06,S,M,2008-12-14,0,90,65,1,9C5F84D1-FB96-4D82-92A1-F932903DEAAD,Jun 30 2014 12:00AM
111,415823523,adventure-works\suroor0,/3/1/11/3/,4,Production Technician - WC50,1978-02-25,S,M,2008-12-17,0,93,66,1,14010B0E-C101-4E41-B788-21923399E512,Jun 30 2014 12:00AM
112,981597097,adventure-works\john1,/3/1/11/4/,4,Production Technician - WC50,1978-05-31,S,M,2009-01-01,0,91,65,1,B6998410-EE0F-4307-9E6E-FE348F11012D,Jun 30 2014 12:00AM
113,54759846,adventure-works\linda0,/3/1/11/5/,4,Production Technician - WC50,1987-07-17,M,F,2008-12-25,0,96,68,1,FB84759C-B687-43B2-8727-125EFE0F5E13,Jun 30 2014 12:00AM
114,342607223,adventure-works\mindaugas0,/3/1/11/6/,4,Production Technician - WC50,1978-05-07,M,M,2009-01-13,0,97,68,1,1D784088-DACB-4185-9F60-3D2DB4925BA5,Jun 30 2014 12:00AM
115,563680513,adventure-works\angela0,/3/1/11/7/,4,Production Technician - WC50,1991-05-31,S,F,2009-01-20,0,92,66,1,4958E1C3-C872-4222-954E-09D2060EA7EF,Jun 30 2014 12:00AM
116,398737566,adventure-works\michael2,/3/1/11/8/,4,Production Technician - WC50,1974-05-03,S,M,2009-01-31,0,98,69,1,C6EB2566-CF28-4602-9A25-5B91C8728838,Jun 30 2014 12:00AM
117,599942664,adventure-works\chad0,/3/1/11/9/,4,Production Technician - WC50,1990-08-04,M,M,2009-02-18,0,99,69,1,83A32D4C-4725-478F-9997-91739BB957BA,Jun 30 2014 12:00AM
118,222400012,adventure-works\don0,/3/1/11/10/,4,Production Technician - WC50,1971-06-13,M,M,2009-02-13,0,88,64,1,E720053D-922E-4C91-B81A-A1CA4EF8BB0E,Jun 30 2014 12:00AM
119,334834274,adventure-works\michael4,/3/1/11/11/,4,Production Technician - WC50,1989-06-15,S,M,2009-02-25,0,94,67,1,EB27C026-9470-4450-8D5E-1F38A41793B5,Jun 30 2014 12:00AM
120,211789056,adventure-works\kitti0,/3/1/11/12/,4,Production Technician - WC50,1987-06-06,S,F,2009-03-04,0,89,64,1,49A05524-FA34-45B1-95BC-489901DC5B50,Jun 30 2014 12:00AM
121,521265716,adventure-works\pilar0,/3/1/12/,3,Shipping and Receiving Supervisor,1972-09-09,S,M,2009-01-02,1,93,66,1,01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52,Jun 30 2014 12:00AM
122,586486572,adventure-works\susan0,/3/1/12/1/,4,Stocker,1978-02-17,S,F,2008-12-07,0,97,68,1,923ECFD6-E202-429A-9141-6CB183531439,Jun 30 2014 12:00AM
123,337752649,adventure-works\vamsi0,/3/1/12/2/,4,Shipping and Receiving Clerk,1977-03-18,M,M,2008-12-07,0,95,67,1,A8838AB2-99DE-415C-8675-D82EBF1C4752,Jun 30 2014 12:00AM
124,420776180,adventure-works\kim0,/3/1/12/3/,4,Stocker,1984-04-30,S,F,2008-12-26,0,98,69,1,6150F197-7923-40D4-84F2-936207D468AB,Jun 30 2014 12:00AM
125,584205124,adventure-works\matthias0,/3/1/12/4/,4,Shipping and Receiving Clerk,1973-11-11,M,M,2009-01-20,0,94,67,1,54ED63DC-C62C-4CC7-89C2-015DF49C49A5,Jun 30 2014 12:00AM
126,652779496,adventure-works\jimmy0,/3/1/12/5/,4,Stocker,1985-05-04,M,M,2009-02-26,0,96,68,1,96442787-9520-4955-A457-38AFDDB6FF13,Jun 30 2014 12:00AM
127,750905084,adventure-works\david4,/3/1/13/,3,Production Supervisor - WC40,1983-07-02,S,M,2009-01-03,0,73,56,1,516538E8-115B-44F4-AA7B-E6C1D9F8ADFC,Jun 30 2014 12:00AM
128,384162788,adventure-works\paul0,/3/1/13/1/,4,Production Technician - WC40,1980-11-13,S,M,2008-12-04,0,68,54,1,0217049E-1566-42B6-8027-41B751E2B00B,Jun 30 2014 12:00AM
129,502058701,adventure-works\gary0,/3/1/13/2/,4,Production Technician - WC40,1988-05-16,S,M,2008-12-22,0,69,54,1,A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6,Jun 30 2014 12:00AM
